bgt_actual_amount,bgt_committed_amount,bgt_cost_code_budget,bgt_cost_code_spent_pct,bgt_forecast_at_completion,cf_actual_amount,cf_flow_month,cf_flow_type,cf_planned_amount,cf_variance_amount,cf_working_capital_days,contract_end_date,contract_number,contract_start_date,contract_type,contract_value,ev_ac,ev_bac,ev_cpi,ev_cv,ev_eac,ev_ev,ev_pv,ev_spi,ev_sv,ev_vac,ext_commodity_name,ext_forex_rate,ext_market_price,ext_price_date,ext_price_mom_pct,ext_price_unit,ext_price_volatility,ext_price_yoy_pct,ext_rolling_12m_avg,ext_rolling_3m_avg,inv_budgeted_amount,inv_cgst_amount,inv_duplicate_flag,inv_duplicate_group_id,inv_grn_matched,inv_igst_amount,inv_invoice_currency,inv_invoice_date,inv_invoice_number,inv_invoice_type,inv_li_description,inv_li_epc_category,inv_li_hsn_sac_code,inv_li_material_type,inv_li_quantity,inv_li_sl_no,inv_li_taxable_amount,inv_li_total_amount,inv_li_unit_rate,inv_li_uom,inv_li_uom_normalized,inv_matched_po_number,inv_off_contract_flag,inv_other_charges,inv_payment_terms,inv_place_of_supply,inv_po_match_confidence,inv_price_variance_flag,inv_price_variance_pct,inv_project_code,inv_project_id,inv_project_name,inv_sgst_amount,inv_supplier_bank_name,inv_supplier_city,inv_supplier_email,inv_supplier_gstin,inv_supplier_name,inv_supplier_pan,inv_supplier_phone,inv_supplier_state,inv_taxable_amount,inv_total_amount,inv_variance_amount,inv_variance_flag,invoice_id,ld_per_day,line_item_id,mat_market_benchmark_rate,mat_price_trend,mat_rate_vs_benchmark_pct,pmt_advance_flag,pmt_days_to_pay,pmt_overdue_days,pmt_overdue_flag,pmt_payment_date,pmt_payment_id,pmt_payment_mode,pmt_payment_status,pmt_retention_held,pmt_retention_released,po_delivery_date,po_delivery_status,po_id,po_li_description,po_li_line_amount,po_li_quantity_ordered,po_li_quantity_pending,po_li_quantity_received,po_li_quantity_rejected,po_li_unit_rate,po_li_uom,po_open_amount,po_over_invoiced_flag,po_status,po_total_invoiced_amount,po_total_paid_amount,po_type,po_value,prj_client_name,prj_is_epc,prj_site_city,prj_site_state,prj_status,prj_total_contract_value,prj_type,retention_pct,row_process_id,sch_activity_id,sch_activity_name,sch_actual_pct,sch_actual_start,sch_delay_days,sch_delay_flag,sch_delay_reason,sch_float_days,sch_forecast_finish,sch_is_critical_path,sch_planned_finish,sch_planned_pct,sch_planned_start,synced_at,transaction_id,txn_date,txn_source,txn_type,vnd_approved_vendor,vnd_blacklisted,vnd_delivery_rating,vnd_financial_health,vnd_msme_category,vnd_msme_flag,vnd_overall_rating,vnd_quality_rating,vnd_safety_rating,vnd_specialisation,vnd_trade_category,vnd_vendor_code,vnd_vendor_id,vnd_vendor_name_normalized,vnd_vendor_type
131472.79,1422239.56,1178157.59,9.6,1700476.56,131472.79,2025-02-01,outflow_procurement,138635.91,-7163.12,30,2025-09-17,CTR-BEC-MFG-BAT-VND--001,2024-12-05,unit_rate,1640462,119725.32,1700476.56,11.845,1298472.13,143560.71,1418197.45,1438603.17,0.986,-20405.72,1556915.85,Service — Industrial Supply,1.0,22000.0,2025-02-24,0.48,USD/LS,0.105,-3.03,22808.73,21700.76,1369531.69,0.0,0,,0,0.0,USD,2025-02-24,PS-2025-0001303,tax_invoice,Industrial Supply supply — Battery Manufacturing Facility Lot 7,site_overheads,7214,service,39.31,7,125212.18,131472.79,3185.25,EA,EA,PO-BEC-MFG-BAT-VND-PS-00007,0,277.21,Net 30,TN,0.9,0,,BEC-MFG-BAT,PROJ-MFG-002,Battery Manufacturing Facility,0.0,Wells Fargo,Deer Park,procurement@pi-supply.com,67-3498209,P&I Supply Company,74-468129-9704,+1-475-413-8638,TX,125212.18,131472.79,-1238058.9,under,INV-35C908E2,4.49,LI-0001303,22000.0,stable,-85.52,0,30,,0,2025-03-26,PMT-581939,ach,paid,6573.64,0.0,2025-06-10,on_track,PO-VND-PS-00007,Industrial Supply supply — Battery Manufacturing Facility Lot 7,353021.26,110.83,14.42,96.41,0.33,3185.25,EA,434907.32,0,active,983646.68,714246.1,material_purchase_order,1418554,Confidential Client,1,Nashville,TN,active,800000000,manufacturing,5.0,1303,ACT-BEC-MFG-BAT-SIT-0007,Industrial Supply delivery — Battery Manufacturing Facility,83.4,2025-02-19,0,0,,8,2025-06-16,0,2025-06-16,84.6,2025-02-14,2025-01-15 08:00:00,INV-6C471AFE,2025-02-24,ocr_pdf,invoice,1,0,4.1,A,large,0,4.9,4.9,4.4,Industrial Supply — EPC megaprojects (Bechtel preferred vendor),industrial_supply,VND-PSC-025,00000000-0000-0000-0000-0001fb175247,P&I Supply Company,supplier
38697.22,1540002.55,1474363.48,2.7,1594162.09,38697.22,2025-09-01,outflow_procurement,37195.9,1501.32,62,2026-02-09,CTR-BEC-MFG-BAT-VND--001,2025-05-30,unit_rate,197189,33423.31,1594162.09,15.072,470331.91,105769.78,503755.22,487813.6,1.033,15941.62,1488392.31,Service — Industrial Supply,1.0,22000.0,2025-09-07,2.57,USD/LS,0.068,1.21,21508.92,20947.66,1419913.91,0.0,0,,0,0.0,USD,2025-09-07,PS-2025-0001304,tax_invoice,Industrial Supply supply — Battery Manufacturing Facility Lot 8,site_overheads,8413,service,4.73,8,38697.22,38697.22,8181.23,EA,EA,PO-BEC-MFG-BAT-VND-PS-00008,0,20.77,Net 30,TN,0.88,0,,BEC-MFG-BAT,PROJ-MFG-002,Battery Manufacturing Facility,0.0,Wells Fargo,Deer Park,procurement@pi-supply.com,67-3498209,P&I Supply Company,74-468129-9704,+1-475-413-8638,TX,38697.22,38697.22,-1381216.69,under,INV-A3031503,0.54,LI-0001304,22000.0,stable,-62.81,0,62,17,1,,PMT-511151,wire_transfer,pending,1160.92,0.0,2026-01-08,on_track,PO-VND-PS-00008,Industrial Supply supply — Battery Manufacturing Facility Lot 8,94084.14,11.5,5.69,5.81,0.11,8181.23,EA,115649.55,0,active,74223.45,61640.75,material_purchase_order,189873,Confidential Client,1,Nashville,TN,active,800000000,manufacturing,3.0,1304,ACT-BEC-MFG-BAT-SIT-0008,Industrial Supply delivery — Battery Manufacturing Facility,31.6,2025-08-04,0,0,,0,2025-12-21,0,2025-12-21,30.6,2025-07-31,2025-01-15 08:00:00,INV-D75793B6,2025-09-07,ocr_pdf,invoice,1,0,4.9,A,large,0,4.9,4.9,4.3,Industrial Supply — EPC megaprojects (Bechtel preferred vendor),industrial_supply,VND-PSC-025,00000000-0000-0000-0000-0001fb175247,P&I Supply Company,supplier
91030.23,946972.95,934185.89,11.2,763669.4,91030.23,2024-01-01,outflow_procurement,83312.67,7717.56,15,2024-03-18,CTR-BEC-MFG-BAT-VND--001,2023-12-15,cost_plus,1297108,79228.85,763669.4,7.509,515669.61,101700.55,594898.46,699521.17,0.85,-104622.71,661968.85,Service — Industrial Supply,1.0,22000.0,2024-01-15,1.75,USD/LS,0.237,3.18,21415.81,22682.12,814755.77,0.0,0,,0,0.0,USD,2024-01-15,PS-2024-0001305,tax_invoice,Industrial Supply supply — Battery Manufacturing Facility Lot 9,site_overheads,8544,service,37.37,9,84092.59,91030.23,2250.27,EA,EA,PO-BEC-MFG-BAT-VND-PS-00009,0,119.3,Net 30,TN,0.9,0,,BEC-MFG-BAT,PROJ-MFG-002,Battery Manufacturing Facility,0.0,Wells Fargo,Deer Park,procurement@pi-supply.com,67-3498209,P&I Supply Company,74-468129-9704,+1-475-413-8638,TX,84092.59,91030.23,-723725.54,under,INV-F8C8711C,3.55,LI-0001305,22000.0,falling,-89.77,0,15,,0,2024-01-30,PMT-342924,cheque,paid,2730.91,0.0,2024-04-09,delayed,PO-VND-PS-00009,Industrial Supply supply — Battery Manufacturing Facility Lot 9,484775.67,215.43,41.68,173.75,2.55,2250.27,EA,452390.67,0,active,637542.33,587207.44,material_purchase_order,1089933,Confidential Client,1,Nashville,TN,active,800000000,manufacturing,3.0,1305,ACT-BEC-MFG-BAT-SIT-0009,Industrial Supply delivery — Battery Manufacturing Facility,77.9,2023-12-02,0,0,,4,2024-02-21,0,2024-02-21,91.6,2023-12-01,2025-01-15 08:00:00,INV-C103E6AF,2024-01-15,ocr_pdf,invoice,1,0,4.4,A,large,0,4.9,4.9,4.4,Industrial Supply — EPC megaprojects (Bechtel preferred vendor),industrial_supply,VND-PSC-025,00000000-0000-0000-0000-0001fb175247,P&I Supply Company,supplier
69969.74,1098183.46,1100952.27,5.5,1262447.01,69969.74,2024-09-01,outflow_procurement,65322.39,4647.35,25,2025-06-04,CTR-BEC-MFG-BAT-VND--001,2024-06-06,lump_sum,625541,64886.65,1262447.01,5.467,289860.96,230921.35,354747.61,357272.5,0.993,-2524.89,1031525.66,Service — Industrial Supply,1.0,22000.0,2024-09-10,0.89,USD/LS,0.236,-0.93,22346.45,22179.36,1266975.17,0.0,0,,0,0.0,USD,2024-09-10,PS-2024-0001306,tax_invoice,Industrial Supply supply — Battery Manufacturing Facility Lot 10,site_overheads,7214,service,2.18,10,64637.17,69969.74,29650.08,EA,EA,PO-BEC-MFG-BAT-VND-PS-00010,0,127.61,Net 30,TN,0.95,0,,BEC-MFG-BAT,PROJ-MFG-002,Battery Manufacturing Facility,0.0,Wells Fargo,Deer Park,procurement@pi-supply.com,67-3498209,P&I Supply Company,74-468129-9704,+1-475-413-8638,TX,64637.17,69969.74,-1197005.43,under,INV-954A2FD0,1.71,LI-0001306,22000.0,falling,34.77,0,25,,0,2024-10-05,PMT-020078,wire_transfer,paid,2099.09,0.0,2024-12-12,delayed,PO-VND-PS-00010,Industrial Supply supply — Battery Manufacturing Facility Lot 10,262699.71,8.86,1.51,7.35,0.11,29650.08,EA,175378.21,0,closed,426217.79,377681.49,material_purchase_order,601596,Confidential Client,1,Nashville,TN,active,800000000,manufacturing,3.0,1306,ACT-BEC-MFG-BAT-SIT-0010,Industrial Supply delivery — Battery Manufacturing Facility,28.1,2024-08-08,0,0,,0,2024-11-30,0,2024-11-30,28.3,2024-08-04,2025-01-15 08:00:00,INV-671F98A0,2024-09-10,ocr_pdf,invoice,1,0,4.4,A,large,0,4.9,4.9,4.4,Industrial Supply — EPC megaprojects (Bechtel preferred vendor),industrial_supply,VND-PSC-025,00000000-0000-0000-0000-0001fb175247,P&I Supply Company,supplier
321115.96,1595056.52,1478887.69,18.5,1581339.23,321115.96,2025-01-01,outflow_procurement,334767.78,-13651.82,16,2025-05-21,CTR-BEC-MFG-BAT-VND--001,2024-10-04,unit_rate,1459132,257970.25,1581339.23,1.716,184804.73,921526.36,442774.98,545562.03,0.812,-102787.05,659812.87,Service — Industrial Supply,1.0,22000.0,2025-01-11,0.98,USD/LS,0.16,-4.88,22761.96,22452.64,1739298.26,0.0,0,,0,0.0,USD,2025-01-11,PS-2025-0001307,tax_invoice,Industrial Supply supply — Battery Manufacturing Facility Lot 11,site_overheads,8544,service,46.63,11,305824.72,321115.96,6558.54,EA,EA,PO-BEC-MFG-BAT-VND-PS-00011,0,30.36,Net 30,TN,0.87,0,,BEC-MFG-BAT,PROJ-MFG-002,Battery Manufacturing Facility,0.0,Wells Fargo,Deer Park,procurement@pi-supply.com,67-3498209,P&I Supply Company,74-468129-9704,+1-475-413-8638,TX,305824.72,321115.96,-1418182.3,under,INV-755FCDF7,4.0,LI-0001307,22000.0,stable,-70.19,0,16,,0,2025-01-27,PMT-536707,wire_transfer,paid,16055.8,0.0,2025-03-25,delayed,PO-VND-PS-00011,Industrial Supply supply — Battery Manufacturing Facility Lot 11,2091256.06,318.86,24.63,294.23,3.46,6558.54,EA,556358.7,0,closed,672281.3,538901.72,material_purchase_order,1228640,Confidential Client,1,Nashville,TN,active,800000000,manufacturing,5.0,1307,ACT-BEC-MFG-BAT-SIT-0011,Industrial Supply delivery — Battery Manufacturing Facility,28.0,2024-12-07,21,1,supplier_lead_time,4,2025-05-05,0,2025-04-14,34.5,2024-12-04,2025-01-15 08:00:00,INV-A81D6045,2025-01-11,ocr_pdf,invoice,1,0,4.5,A,large,0,4.9,4.9,4.6,Industrial Supply — EPC megaprojects (Bechtel preferred vendor),industrial_supply,VND-PSC-025,00000000-0000-0000-0000-0001fb175247,P&I Supply Company,supplier
20874258.16,12687182.82,10907509.3,199.6,12982681.03,20874258.16,2024-05-01,outflow_procurement,20276755.93,597502.23,32,2025-03-02,CTR-BEC-LNG-RG4-VND--001,2024-04-05,cost_plus,190217405,22116456.92,12982681.03,0.495,-11172056.81,26227638.44,10944400.11,12008979.95,0.911,-1064579.84,-13244957.41,Service — Logistics,1.0,85000.0,2024-05-22,1.27,USD/LS,0.196,-3.32,81610.47,87225.58,10456734.48,0.0,0,,0,0.0,USD,2024-05-22,PT-2024-0001308,tax_invoice,Logistics supply — Rio Grande LNG Train 4 Lot 1,site_overheads,8544,service,41.01,1,19283379.36,20874258.16,470211.64,LOAD,LOAD,PO-BEC-LNG-RG4-VND-PT-00001,0,429.24,Net 15 — per-delivery billing,TX,0.88,0,,BEC-LNG-RG4,PROJ-LNG-003,Rio Grande LNG Train 4,0.0,Wells Fargo,Aliquippa,procurement@pgttrucking.com,52-1553976,PGT Trucking Inc,62-104997-1556,+1-260-985-2307,PA,19283379.36,20874258.16,10417523.68,over,INV-9E296269,521.14,LI-0001308,85000.0,stable,453.19,0,32,,0,2024-06-23,PMT-726723,wire_transfer,paid,626227.74,0.0,2024-09-22,delayed,PO-VND-PT-00001,Logistics supply — Rio Grande LNG Train 4 Lot 1,39892755.54,84.84,16.07,68.77,0.64,470211.64,LOAD,91216101.05,0,active,87163273.95,50208424.94,subcontract_po,178379375,NextDecade Corporation,1,Brownsville,TX,active,4770000000,lng,3.0,1308,ACT-BEC-LNG-RG4-SIT-0001,Logistics delivery — Rio Grande LNG Train 4,84.3,2024-05-16,0,0,,9,2024-07-03,0,2024-07-03,92.5,2024-05-12,2025-01-15 08:00:00,INV-FC835795,2024-05-22,ocr_pdf,invoice,1,0,4.0,A,small,1,4.0,4.0,4.5,Logistics — EPC megaprojects (Bechtel preferred vendor),logistics,VND-PTI-026,00000000-0000-0000-0000-000036134ea3,PGT Trucking Inc,subcontractor
30137928.57,5122493.55,4856883.06,622.5,5887240.06,30137928.57,2025-09-01,outflow_procurement,31567421.96,-1429493.39,38,2026-08-15,CTR-BEC-LNG-RG4-VND--001,2025-08-06,unit_rate,311078931,32174688.27,5887240.06,0.041,-30850059.26,143591220.98,1324629.01,1306967.29,1.014,17661.72,-137703980.92,Service — Logistics,1.0,85000.0,2025-09-16,1.28,USD/LS,0.134,9.31,81261.35,88021.65,4841065.31,0.0,0,,0,0.0,USD,2025-09-16,PT-2025-0001309,tax_invoice,Logistics supply — Rio Grande LNG Train 4 Lot 2,site_overheads,8537,service,35.87,2,28702789.11,30137928.57,800189.27,LOAD,LOAD,PO-BEC-LNG-RG4-VND-PT-00002,0,235.27,Net 15 — per-delivery billing,TX,0.84,0,,BEC-LNG-RG4,PROJ-LNG-003,Rio Grande LNG Train 4,0.0,Wells Fargo,Aliquippa,procurement@pgttrucking.com,52-1553976,PGT Trucking Inc,62-104997-1556,+1-260-985-2307,PA,28702789.11,30137928.57,25296863.26,over,INV-B28E8E7C,852.27,LI-0001309,85000.0,stable,841.4,0,38,,0,,PMT-514055,cheque,processing,3013792.86,0.0,2026-02-17,on_track,PO-VND-PT-00002,Logistics supply — Rio Grande LNG Train 4 Lot 2,154916642.67,193.6,122.94,70.66,3.09,800189.27,LOAD,82093103.7,0,active,199004552.3,131730440.32,subcontract_po,281097656,NextDecade Corporation,1,Brownsville,TX,active,4770000000,lng,10.0,1309,ACT-BEC-LNG-RG4-SIT-0002,Logistics delivery — Rio Grande LNG Train 4,22.5,2025-08-14,6,1,,6,2025-11-28,0,2025-11-22,22.2,2025-08-11,2025-01-15 08:00:00,INV-28868F37,2025-09-16,ocr_pdf,invoice,1,0,3.7,A,small,1,4.0,4.0,4.2,Logistics — EPC megaprojects (Bechtel preferred vendor),logistics,VND-PTI-026,00000000-0000-0000-0000-000036134ea3,PGT Trucking Inc,subcontractor
45083130.95,3181797.56,3649005.77,1446.9,3548111.13,45083130.95,2025-06-01,outflow_procurement,49238222.84,-4155091.89,19,2025-12-17,CTR-BEC-LNG-RG4-VND--001,2025-02-08,lump_sum,382268349,50685027.04,3548111.13,0.022,-49567372.03,161277778.64,1117655.01,1217002.12,0.918,-99347.11,-157729667.51,Service — Logistics,1.0,85000.0,2025-06-07,-0.97,USD/LS,0.087,-0.5,92276.59,81925.43,3115739.5,0.0,0,,0,0.0,USD,2025-06-07,PT-2025-0001310,tax_invoice,Logistics supply — Rio Grande LNG Train 4 Lot 3,site_overheads,3926,service,47.14,3,45083130.95,45083130.95,956366.8,LOAD,LOAD,PO-BEC-LNG-RG4-VND-PT-00003,0,330.44,Net 15 — per-delivery billing,TX,0.82,0,,BEC-LNG-RG4,PROJ-LNG-003,Rio Grande LNG Train 4,0.0,Wells Fargo,Aliquippa,procurement@pgttrucking.com,52-1553976,PGT Trucking Inc,62-104997-1556,+1-260-985-2307,PA,45083130.95,45083130.95,41967391.45,over,INV-5CD40BE3,1047.31,LI-0001310,85000.0,falling,1025.14,0,19,,0,,PMT-436777,cheque,pending,2254156.55,0.0,2025-07-14,delayed,PO-VND-PT-00003,Logistics supply — Rio Grande LNG Train 4 Lot 3,135957104.29,142.16,3.03,139.13,0.68,956366.8,LOAD,125088323.95,0,closed,204385747.05,149489036.72,subcontract_po,329474071,NextDecade Corporation,1,Brownsville,TX,active,4770000000,lng,5.0,1310,ACT-BEC-LNG-RG4-SIT-0003,Logistics delivery — Rio Grande LNG Train 4,31.5,2025-05-12,15,1,weather,12,2025-08-15,0,2025-07-31,34.3,2025-05-07,2025-01-15 08:00:00,INV-9A6987EE,2025-06-07,ocr_pdf,invoice,1,0,4.3,A,small,1,4.0,4.0,4.4,Logistics — EPC megaprojects (Bechtel preferred vendor),logistics,VND-PTI-026,00000000-0000-0000-0000-000036134ea3,PGT Trucking Inc,subcontractor
29032025.28,7032103.97,5016635.18,496.5,6199720.67,29032025.28,2024-01-01,outflow_procurement,30300277.32,-1268252.04,21,2024-04-29,CTR-BEC-LNG-RG4-VND--001,2023-11-29,unit_rate,168481084,25833571.54,6199720.67,0.198,-20712602.27,31311720.56,5120969.27,5127168.99,0.999,-6199.72,-25111999.89,Service — Logistics,1.0,85000.0,2024-01-08,2.46,USD/LS,0.128,2.84,77236.2,86350.43,5846954.76,0.0,0,,0,0.0,USD,2024-01-08,PT-2024-0001311,tax_invoice,Logistics supply — Rio Grande LNG Train 4 Lot 4,site_overheads,7214,service,33.8,4,26819422.89,29032025.28,793474.05,LOAD,LOAD,PO-BEC-LNG-RG4-VND-PT-00004,0,152.14,Net 15 — per-delivery billing,TX,0.88,0,,BEC-LNG-RG4,PROJ-LNG-003,Rio Grande LNG Train 4,0.0,Wells Fargo,Aliquippa,procurement@pgttrucking.com,52-1553976,PGT Trucking Inc,62-104997-1556,+1-260-985-2307,PA,26819422.89,29032025.28,23185070.52,over,INV-088E25DC,461.59,LI-0001311,85000.0,falling,833.5,0,21,,0,2024-01-29,PMT-097235,wire_transfer,paid,870960.76,0.0,2024-04-11,on_track,PO-VND-PT-00004,Logistics supply — Rio Grande LNG Train 4 Lot 4,207660093.63,261.71,38.16,223.55,2.25,793474.05,LOAD,33228367.45,0,active,112364648.55,104324450.79,subcontract_po,145593016,NextDecade Corporation,1,Brownsville,TX,active,4770000000,lng,3.0,1311,ACT-BEC-LNG-RG4-SIT-0004,Logistics delivery — Rio Grande LNG Train 4,82.6,2023-12-25,0,0,,6,2024-04-18,0,2024-04-18,82.7,2023-12-21,2025-01-15 08:00:00,INV-91407B14,2024-01-08,ocr_pdf,invoice,1,0,4.4,A,small,1,4.0,4.0,4.5,Logistics — EPC megaprojects (Bechtel preferred vendor),logistics,VND-PTI-026,00000000-0000-0000-0000-000036134ea3,PGT Trucking Inc,subcontractor
60101995.75,11359237.83,8760800.5,675.3,9348028.27,60101995.75,2024-03-01,outflow_procurement,56349532.57,3752463.18,39,2024-06-10,CTR-BEC-LNG-RG4-VND--001,2023-11-12,unit_rate,543548249,52101157.35,9348028.27,0.116,-46034287.0,80586450.6,6066870.35,7085805.43,0.856,-1018935.08,-71238422.33,Service — Logistics,1.0,85000.0,2024-03-03,3.77,USD/LS,0.145,4.62,82217.06,82036.65,8899893.41,0.0,0,,0,0.0,USD,2024-03-03,PT-2024-0001312,tax_invoice,Logistics supply — Rio Grande LNG Train 4 Lot 5,site_overheads,7214,service,42.76,5,60101995.75,60101995.75,1405565.85,LOAD,LOAD,PO-BEC-LNG-RG4-VND-PT-00005,0,208.16,Net 15 — per-delivery billing,TX,0.95,0,,BEC-LNG-RG4,PROJ-LNG-003,Rio Grande LNG Train 4,0.0,Wells Fargo,Aliquippa,procurement@pgttrucking.com,52-1553976,PGT Trucking Inc,62-104997-1556,+1-260-985-2307,PA,60101995.75,60101995.75,51202102.34,over,INV-8AD446A1,1489.17,LI-0001312,85000.0,stable,1553.61,0,39,,0,2024-04-11,PMT-973306,wire_transfer,paid,1803059.87,0.0,2024-08-30,on_track,PO-VND-PT-00005,Logistics supply — Rio Grande LNG Train 4 Lot 5,436554697.35,310.59,216.56,94.03,2.24,1405565.85,LOAD,240907269.91,0,active,253884478.09,159607303.84,subcontract_po,494791748,NextDecade Corporation,1,Brownsville,TX,active,4770000000,lng,3.0,1312,ACT-BEC-LNG-RG4-SIT-0005,Logistics delivery — Rio Grande LNG Train 4,64.9,2024-01-20,0,0,,2,2024-05-15,0,2024-05-15,75.8,2024-01-20,2025-01-15 08:00:00,INV-EDBCD6C0,2024-03-03,ocr_pdf,invoice,1,0,4.5,A,small,1,4.0,4.0,4.3,Logistics — EPC megaprojects (Bechtel preferred vendor),logistics,VND-PTI-026,00000000-0000-0000-0000-000036134ea3,PGT Trucking Inc,subcontractor
38011335.74,7400350.0,9075934.77,464.3,8405805.1,38011335.74,2025-06-01,outflow_procurement,38761666.55,-750330.81,46,2026-05-15,CTR-BEC-LNG-RG4-VND--001,2025-02-27,lump_sum,205499532,36623699.82,8405805.1,0.092,-33236160.36,91367446.74,3387539.46,3286669.79,1.031,100869.67,-82961641.64,Service — Logistics,1.0,85000.0,2025-06-03,-1.87,USD/LS,0.118,-4.59,88016.26,84707.86,8187623.61,0.0,0,,0,0.0,USD,2025-06-03,PT-2025-0001313,tax_invoice,Logistics supply — Rio Grande LNG Train 4 Lot 6,site_overheads,8537,service,29.04,6,36201272.13,38011335.74,1246600.28,LOAD,LOAD,PO-BEC-LNG-RG4-VND-PT-00006,0,47.17,Net 15 — per-delivery billing,TX,0.9,0,,BEC-LNG-RG4,PROJ-LNG-003,Rio Grande LNG Train 4,0.0,Wells Fargo,Aliquippa,procurement@pgttrucking.com,52-1553976,PGT Trucking Inc,62-104997-1556,+1-260-985-2307,PA,36201272.13,38011335.74,29823712.13,over,INV-571C11F7,563.01,LI-0001313,85000.0,rising,1366.59,0,46,1,1,,PMT-767165,ach,pending,1900566.79,0.0,2025-11-02,on_track,PO-VND-PT-00006,Logistics supply — Rio Grande LNG Train 4 Lot 6,120396655.04,96.58,21.86,74.72,1.32,1246600.28,LOAD,126638041.8,0,active,65854372.2,40017448.13,subcontract_po,192492414,NextDecade Corporation,1,Brownsville,TX,active,4770000000,lng,5.0,1313,ACT-BEC-LNG-RG4-SIT-0006,Logistics delivery — Rio Grande LNG Train 4,40.3,2025-04-16,0,0,,13,2025-06-24,0,2025-06-24,39.1,2025-04-16,2025-01-15 08:00:00,INV-1433AC0F,2025-06-03,ocr_pdf,invoice,1,0,4.3,A,small,1,4.0,4.0,4.9,Logistics — EPC megaprojects (Bechtel preferred vendor),logistics,VND-PTI-026,00000000-0000-0000-0000-000036134ea3,PGT Trucking Inc,subcontractor
2274143.81,4299897.49,3105212.56,62.0,3416620.83,2274143.81,2024-09-01,outflow_procurement,2365967.6,-91823.79,17,2025-02-18,CTR-BEC-LNG-RG4-VND--001,2024-08-19,cost_plus,24488236,2695910.68,3416620.83,0.305,-1872505.06,11202035.51,823405.62,983986.8,0.837,-160581.18,-7785414.68,Service — Logistics,1.0,85000.0,2024-09-18,3.8,USD/LS,0.225,6.27,85587.38,82350.63,3666943.41,0.0,0,,0,0.0,USD,2024-09-18,PT-2024-0001314,tax_invoice,Logistics supply — Rio Grande LNG Train 4 Lot 7,site_overheads,7304,service,7.65,7,2165851.25,2274143.81,283117.81,LOAD,LOAD,PO-BEC-LNG-RG4-VND-PT-00007,0,170.58,Net 15 — per-delivery billing,TX,0.92,0,,BEC-LNG-RG4,PROJ-LNG-003,Rio Grande LNG Train 4,0.0,Wells Fargo,Aliquippa,procurement@pgttrucking.com,52-1553976,PGT Trucking Inc,62-104997-1556,+1-260-985-2307,PA,2165851.25,2274143.81,-1392799.6,under,INV-8923D954,67.09,LI-0001314,85000.0,falling,233.08,0,17,,0,2024-10-05,PMT-317062,cheque,paid,68224.31,0.0,2024-12-25,on_track,PO-VND-PT-00007,Logistics supply — Rio Grande LNG Train 4 Lot 7,4702586.82,16.61,7.27,9.34,0.17,283117.81,LOAD,6974691.62,0,active,13802956.38,9026529.36,subcontract_po,20777648,NextDecade Corporation,1,Brownsville,TX,active,4770000000,lng,3.0,1314,ACT-BEC-LNG-RG4-SIT-0007,Logistics delivery — Rio Grande LNG Train 4,24.1,2024-08-13,0,0,,11,2024-11-14,0,2024-11-14,28.8,2024-08-13,2025-01-15 08:00:00,INV-3C57E0F5,2024-09-18,ocr_pdf,invoice,1,0,3.8,A,small,1,4.0,4.0,4.5,Logistics — EPC megaprojects (Bechtel preferred vendor),logistics,VND-PTI-026,00000000-0000-0000-0000-000036134ea3,PGT Trucking Inc,subcontractor
4671473.87,8103022.3,7499770.14,58.7,7862015.06,4671473.87,2024-08-01,outflow_procurement,5014845.8,-343371.93,41,2025-06-19,CTR-BEC-LNG-RG4-VND--001,2024-06-15,unit_rate,41420072,5566110.99,7862015.06,1.089,495502.62,7219481.23,6061613.61,7366708.11,0.823,-1305094.5,642533.83,Service — Logistics,1.0,85000.0,2024-08-21,-0.54,USD/LS,0.115,2.81,93356.34,83701.25,7953435.25,0.0,0,,0,0.0,USD,2024-08-21,PT-2024-0001315,tax_invoice,Logistics supply — Rio Grande LNG Train 4 Lot 8,site_overheads,7306,service,20.28,8,4671473.87,4671473.87,230348.81,LOAD,LOAD,PO-BEC-LNG-RG4-VND-PT-00008,0,58.68,Net 15 — per-delivery billing,TX,0.85,0,,BEC-LNG-RG4,PROJ-LNG-003,Rio Grande LNG Train 4,0.0,Wells Fargo,Aliquippa,procurement@pgttrucking.com,52-1553976,PGT Trucking Inc,62-104997-1556,+1-260-985-2307,PA,4671473.87,4671473.87,-3281961.38,under,INV-40B96D9D,113.48,LI-0001315,85000.0,falling,171.0,0,41,,0,2024-10-01,PMT-113988,wire_transfer,paid,233573.69,0.0,2024-11-18,on_track,PO-VND-PT-00008,Logistics supply — Rio Grande LNG Train 4 Lot 8,10331144.13,44.85,25.09,19.76,0.38,230348.81,LOAD,26095459.3,0,active,13248701.7,6872517.04,subcontract_po,39344161,NextDecade Corporation,1,Brownsville,TX,active,4770000000,lng,5.0,1315,ACT-BEC-LNG-RG4-SIT-0008,Logistics delivery — Rio Grande LNG Train 4,77.1,2024-06-30,0,0,,5,2024-09-19,0,2024-09-19,93.7,2024-06-29,2025-01-15 08:00:00,INV-266808AF,2024-08-21,ocr_pdf,invoice,1,0,3.9,A,small,1,4.0,4.0,4.7,Logistics — EPC megaprojects (Bechtel preferred vendor),logistics,VND-PTI-026,00000000-0000-0000-0000-000036134ea3,PGT Trucking Inc,subcontractor
